word,sentiment,lexicon,score
affable,positive,bing,NA
affably,positive,bing,NA
affectation,positive,bing,NA
affection,positive,bing,NA
affectionate,positive,bing,NA
affinity,positive,bing,NA
affirm,positive,bing,NA
affirmation,positive,bing,NA
affirmative,positive,bing,NA
afflict,negative,bing,NA
affliction,negative,bing,NA
afflictive,negative,bing,NA
affluence,positive,bing,NA
affluent,positive,bing,NA
afford,positive,bing,NA
affordable,positive,bing,NA
affordably,positive,bing,NA
affront,negative,bing,NA
afordable,positive,bing,NA
afraid,negative,bing,NA
aggravate,negative,bing,NA
aggravating,negative,bing,NA
aggravation,negative,bing,NA
aggression,negative,bing,NA
aggressive,negative,bing,NA
aggressiveness,negative,bing,NA
aggressor,negative,bing,NA
aggrieve,negative,bing,NA
aggrieved,negative,bing,NA
aggrivation,negative,bing,NA
aghast,negative,bing,NA
agile,positive,bing,NA
agilely,positive,bing,NA
agility,positive,bing,NA
agonies,negative,bing,NA
agonize,negative,bing,NA
agonizing,negative,bing,NA
agonizingly,negative,bing,NA
agony,negative,bing,NA
agreeable,positive,bing,NA
agreeableness,positive,bing,NA
agreeably,positive,bing,NA
aground,negative,bing,NA
ail,negative,bing,NA
ailing,negative,bing,NA
ailment,negative,bing,NA
aimless,negative,bing,NA
alarm,negative,bing,NA
alarmed,negative,bing,NA
alarming,negative,bing,NA
alarmingly,negative,bing,NA
alienate,negative,bing,NA
alienated,negative,bing,NA
alienation,negative,bing,NA
all-around,positive,bing,NA
allegation,negative,bing,NA
allegations,negative,bing,NA
allege,negative,bing,NA
allergic,negative,bing,NA
allergies,negative,bing,NA
allergy,negative,bing,NA
alluring,positive,bing,NA
alluringly,positive,bing,NA
aloof,negative,bing,NA
altercation,negative,bing,NA
altruistic,positive,bing,NA
altruistically,positive,bing,NA
amaze,positive,bing,NA
amazed,positive,bing,NA
amazement,positive,bing,NA
amazes,positive,bing,NA
amazing,positive,bing,NA
amazingly,positive,bing,NA
ambiguity,negative,bing,NA
ambiguous,negative,bing,NA
ambitious,positive,bing,NA
ambitiously,positive,bing,NA
ambivalence,negative,bing,NA
ambivalent,negative,bing,NA
ambush,negative,bing,NA
ameliorate,positive,bing,NA
amenable,positive,bing,NA
amenity,positive,bing,NA
amiability,positive,bing,NA
amiabily,positive,bing,NA
amiable,positive,bing,NA
amicability,positive,bing,NA
amicable,positive,bing,NA
amicably,positive,bing,NA
amiss,negative,bing,NA
amity,positive,bing,NA
ample,positive,bing,NA
amply,positive,bing,NA
amputate,negative,bing,NA
amuse,positive,bing,NA
amusing,positive,bing,NA
amusingly,positive,bing,NA
anarchism,negative,bing,NA
anarchist,negative,bing,NA
anarchistic,negative,bing,NA
anarchy,negative,bing,NA
anemic,negative,bing,NA
angel,positive,bing,NA
angelic,positive,bing,NA
anger,negative,bing,NA
angrily,negative,bing,NA
angriness,negative,bing,NA
angry,negative,bing,NA
anguish,negative,bing,NA
animosity,negative,bing,NA
annihilate,negative,bing,NA
annihilation,negative,bing,NA
annoy,negative,bing,NA
annoyance,negative,bing,NA
annoyances,negative,bing,NA
annoyed,negative,bing,NA
annoying,negative,bing,NA
annoyingly,negative,bing,NA
annoys,negative,bing,NA
anomalous,negative,bing,NA
anomaly,negative,bing,NA
antagonism,negative,bing,NA
antagonist,negative,bing,NA
antagonistic,negative,bing,NA
antagonize,negative,bing,NA
anti-,negative,bing,NA
anti-american,negative,bing,NA
anti-israeli,negative,bing,NA
anti-occupation,negative,bing,NA
anti-proliferation,negative,bing,NA
anti-semites,negative,bing,NA
anti-social,negative,bing,NA
anti-us,negative,bing,NA
anti-white,negative,bing,NA
antipathy,negative,bing,NA
antiquated,negative,bing,NA
antithetical,negative,bing,NA
anxieties,negative,bing,NA
anxiety,negative,bing,NA
anxious,negative,bing,NA
anxiously,negative,bing,NA
anxiousness,negative,bing,NA
apathetic,negative,bing,NA
apathetically,negative,bing,NA
apathy,negative,bing,NA
apocalypse,negative,bing,NA
apocalyptic,negative,bing,NA
apologist,negative,bing,NA
apologists,negative,bing,NA
apotheosis,positive,bing,NA
appal,negative,bing,NA
appall,negative,bing,NA
appalled,negative,bing,NA
appalling,negative,bing,NA
appallingly,negative,bing,NA
appeal,positive,bing,NA
appealing,positive,bing,NA
applaud,positive,bing,NA
appreciable,positive,bing,NA
appreciate,positive,bing,NA
appreciated,positive,bing,NA
appreciates,positive,bing,NA
appreciative,positive,bing,NA
appreciatively,positive,bing,NA
apprehension,negative,bing,NA
apprehensions,negative,bing,NA
apprehensive,negative,bing,NA
apprehensively,negative,bing,NA
appropriate,positive,bing,NA
approval,positive,bing,NA
approve,positive,bing,NA
arbitrary,negative,bing,NA
arcane,negative,bing,NA
archaic,negative,bing,NA
ardent,positive,bing,NA
ardently,positive,bing,NA
ardor,positive,bing,NA
arduous,negative,bing,NA
arduously,negative,bing,NA
argumentative,negative,bing,NA
arrogance,negative,bing,NA
arrogant,negative,bing,NA
arrogantly,negative,bing,NA
articulate,positive,bing,NA
ashamed,negative,bing,NA
asinine,negative,bing,NA
asininely,negative,bing,NA
asinininity,negative,bing,NA
askance,negative,bing,NA
asperse,negative,bing,NA
aspersion,negative,bing,NA
aspersions,negative,bing,NA
aspiration,positive,bing,NA
aspirations,positive,bing,NA
aspire,positive,bing,NA
assail,negative,bing,NA
assassin,negative,bing,NA
assassinate,negative,bing,NA
assault,negative,bing,NA
assult,negative,bing,NA
assurance,positive,bing,NA
assurances,positive,bing,NA
assure,positive,bing,NA
assuredly,positive,bing,NA
assuring,positive,bing,NA
astonish,positive,bing,NA
astonished,positive,bing,NA
astonishing,positive,bing,NA
astonishingly,positive,bing,NA
astonishment,positive,bing,NA
astound,positive,bing,NA
astounded,positive,bing,NA
astounding,positive,bing,NA
astoundingly,positive,bing,NA
astray,negative,bing,NA
astutely,positive,bing,NA
asunder,negative,bing,NA
atrocious,negative,bing,NA
atrocities,negative,bing,NA
atrocity,negative,bing,NA
atrophy,negative,bing,NA
attack,negative,bing,NA
attacks,negative,bing,NA
attentive,positive,bing,NA
attraction,positive,bing,NA
attractive,positive,bing,NA
attractively,positive,bing,NA
attune,positive,bing,NA
audacious,negative,bing,NA
audaciously,negative,bing,NA
audaciousness,negative,bing,NA
audacity,negative,bing,NA
audible,positive,bing,NA
audibly,positive,bing,NA
audiciously,negative,bing,NA
auspicious,positive,bing,NA
austere,negative,bing,NA
authentic,positive,bing,NA
authoritarian,negative,bing,NA
authoritative,positive,bing,NA
autocrat,negative,bing,NA
autocratic,negative,bing,NA
autonomous,positive,bing,NA
available,positive,bing,NA
avalanche,negative,bing,NA
avarice,negative,bing,NA
avaricious,negative,bing,NA
avariciously,negative,bing,NA
avenge,negative,bing,NA
aver,positive,bing,NA
averse,negative,bing,NA
aversion,negative,bing,NA
avid,positive,bing,NA
avidly,positive,bing,NA
award,positive,bing,NA
awarded,positive,bing,NA
awards,positive,bing,NA
awe,positive,bing,NA
awed,positive,bing,NA
aweful,negative,bing,NA
awesome,positive,bing,NA
awesomely,positive,bing,NA
awesomeness,positive,bing,NA
awestruck,positive,bing,NA
awful,negative,bing,NA
awfully,negative,bing,NA
awfulness,negative,bing,NA
awkward,negative,bing,NA
awkwardness,negative,bing,NA
awsome,positive,bing,NA
ax,negative,bing,NA
babble,negative,bing,NA
back-logged,negative,bing,NA
back-wood,negative,bing,NA
back-woods,negative,bing,NA
backache,negative,bing,NA
backaches,negative,bing,NA
backaching,negative,bing,NA
backbite,negative,bing,NA
backbiting,negative,bing,NA
backbone,positive,bing,NA
backward,negative,bing,NA
backwardness,negative,bing,NA
backwood,negative,bing,NA
backwoods,negative,bing,NA
bad,negative,bing,NA
badly,negative,bing,NA
baffle,negative,bing,NA
baffled,negative,bing,NA
bafflement,negative,bing,NA
baffling,negative,bing,NA
bait,negative,bing,NA
balanced,positive,bing,NA
balk,negative,bing,NA
banal,negative,bing,NA
banalize,negative,bing,NA
bane,negative,bing,NA
banish,negative,bing,NA
banishment,negative,bing,NA
bankrupt,negative,bing,NA
barbarian,negative,bing,NA
barbaric,negative,bing,NA
barbarically,negative,bing,NA
barbarity,negative,bing,NA
barbarous,negative,bing,NA
barbarously,negative,bing,NA
bargain,positive,bing,NA
barren,negative,bing,NA
baseless,negative,bing,NA
bash,negative,bing,NA
bashed,negative,bing,NA
bashful,negative,bing,NA
bashing,negative,bing,NA
bastard,negative,bing,NA
bastards,negative,bing,NA
battered,negative,bing,NA
battering,negative,bing,NA
batty,negative,bing,NA
bearish,negative,bing,NA
beastly,negative,bing,NA
beauteous,positive,bing,NA
beautiful,positive,bing,NA
beautifullly,positive,bing,NA
beautifully,positive,bing,NA
beautify,positive,bing,NA
beauty,positive,bing,NA
beckon,positive,bing,NA
beckoned,positive,bing,NA
beckoning,positive,bing,NA
beckons,positive,bing,NA
bedlam,negative,bing,NA
bedlamite,negative,bing,NA
befoul,negative,bing,NA
beg,negative,bing,NA
beggar,negative,bing,NA
beggarly,negative,bing,NA
begging,negative,bing,NA
beguile,negative,bing,NA
belabor,negative,bing,NA
belated,negative,bing,NA
beleaguer,negative,bing,NA
belie,negative,bing,NA
believable,positive,bing,NA
believeable,positive,bing,NA
belittle,negative,bing,NA
belittled,negative,bing,NA
belittling,negative,bing,NA
bellicose,negative,bing,NA
belligerence,negative,bing,NA
belligerent,negative,bing,NA
belligerently,negative,bing,NA
beloved,positive,bing,NA
bemoan,negative,bing,NA
bemoaning,negative,bing,NA
bemused,negative,bing,NA
benefactor,positive,bing,NA
beneficent,positive,bing,NA
beneficial,positive,bing,NA
beneficially,positive,bing,NA
beneficiary,positive,bing,NA
benefit,positive,bing,NA
benefits,positive,bing,NA
benevolence,positive,bing,NA
benevolent,positive,bing,NA
benifits,positive,bing,NA
bent,negative,bing,NA
berate,negative,bing,NA
bereave,negative,bing,NA
bereavement,negative,bing,NA
bereft,negative,bing,NA
berserk,negative,bing,NA
beseech,negative,bing,NA
beset,negative,bing,NA
besiege,negative,bing,NA
besmirch,negative,bing,NA
best,positive,bing,NA
best-known,positive,bing,NA
best-performing,positive,bing,NA
best-selling,positive,bing,NA
bestial,negative,bing,NA
betray,negative,bing,NA
betrayal,negative,bing,NA
betrayals,negative,bing,NA
betrayer,negative,bing,NA
betraying,negative,bing,NA
betrays,negative,bing,NA
better,positive,bing,NA
better-known,positive,bing,NA
better-than-expected,positive,bing,NA
beutifully,positive,bing,NA
bewail,negative,bing,NA
beware,negative,bing,NA
bewilder,negative,bing,NA
bewildered,negative,bing,NA
bewildering,negative,bing,NA
bewilderingly,negative,bing,NA
bewilderment,negative,bing,NA
bewitch,negative,bing,NA
bias,negative,bing,NA
biased,negative,bing,NA
biases,negative,bing,NA
bicker,negative,bing,NA
bickering,negative,bing,NA
bid-rigging,negative,bing,NA
bigotries,negative,bing,NA
bigotry,negative,bing,NA
bitch,negative,bing,NA
bitchy,negative,bing,NA
biting,negative,bing,NA
bitingly,negative,bing,NA
bitter,negative,bing,NA
bitterly,negative,bing,NA
bitterness,negative,bing,NA
bizarre,negative,bing,NA
blab,negative,bing,NA
blabber,negative,bing,NA
blackmail,negative,bing,NA
blah,negative,bing,NA
blame,negative,bing,NA
blameless,positive,bing,NA
blameworthy,negative,bing,NA
bland,negative,bing,NA
blandish,negative,bing,NA
blaspheme,negative,bing,NA
blasphemous,negative,bing,NA
blasphemy,negative,bing,NA
blasted,negative,bing,NA
blatant,negative,bing,NA
blatantly,negative,bing,NA
blather,negative,bing,NA
bleak,negative,bing,NA
bleakly,negative,bing,NA
bleakness,negative,bing,NA
bleed,negative,bing,NA
bleeding,negative,bing,NA
bleeds,negative,bing,NA
blemish,negative,bing,NA
bless,positive,bing,NA
blessing,positive,bing,NA
blind,negative,bing,NA
blinding,negative,bing,NA
blindingly,negative,bing,NA
blindside,negative,bing,NA
bliss,positive,bing,NA
blissful,positive,bing,NA
blissfully,positive,bing,NA
blister,negative,bing,NA
blistering,negative,bing,NA
blithe,positive,bing,NA
bloated,negative,bing,NA
blockage,negative,bing,NA
blockbuster,positive,bing,NA
blockhead,negative,bing,NA
bloodshed,negative,bing,NA
bloodthirsty,negative,bing,NA
bloody,negative,bing,NA
bloom,positive,bing,NA
blossom,positive,bing,NA
blotchy,negative,bing,NA
blow,negative,bing,NA
blunder,negative,bing,NA
blundering,negative,bing,NA
blunders,negative,bing,NA
blunt,negative,bing,NA
blur,negative,bing,NA
bluring,negative,bing,NA
blurred,negative,bing,NA
blurring,negative,bing,NA
blurry,negative,bing,NA
blurs,negative,bing,NA
blurt,negative,bing,NA
boastful,negative,bing,NA
boggle,negative,bing,NA
bogus,negative,bing,NA
boil,negative,bing,NA
boiling,negative,bing,NA
boisterous,negative,bing,NA
bolster,positive,bing,NA
bomb,negative,bing,NA
bombard,negative,bing,NA
bombardment,negative,bing,NA
bombastic,negative,bing,NA
bondage,negative,bing,NA
bonkers,negative,bing,NA
bonny,positive,bing,NA
bonus,positive,bing,NA
bonuses,positive,bing,NA
boom,positive,bing,NA
booming,positive,bing,NA
boost,positive,bing,NA
bore,negative,bing,NA
bored,negative,bing,NA
boredom,negative,bing,NA
bores,negative,bing,NA
boring,negative,bing,NA
botch,negative,bing,NA
bother,negative,bing,NA
bothered,negative,bing,NA
bothering,negative,bing,NA
bothers,negative,bing,NA
bothersome,negative,bing,NA
boundless,positive,bing,NA
bountiful,positive,bing,NA
bowdlerize,negative,bing,NA
boycott,negative,bing,NA
braggart,negative,bing,NA
bragger,negative,bing,NA
brainiest,positive,bing,NA
brainless,negative,bing,NA
brainwash,negative,bing,NA
brainy,positive,bing,NA
brand-new,positive,bing,NA
brash,negative,bing,NA
brashly,negative,bing,NA
brashness,negative,bing,NA
brat,negative,bing,NA
bravado,negative,bing,NA
brave,positive,bing,NA
bravery,positive,bing,NA
bravo,positive,bing,NA
brazen,negative,bing,NA
brazenly,negative,bing,NA
brazenness,negative,bing,NA
breach,negative,bing,NA
break,negative,bing,NA
break-up,negative,bing,NA
break-ups,negative,bing,NA
breakdown,negative,bing,NA
breaking,negative,bing,NA
breaks,negative,bing,NA
breakthrough,positive,bing,NA
breakthroughs,positive,bing,NA
breakup,negative,bing,NA
breakups,negative,bing,NA
breathlessness,positive,bing,NA
breathtaking,positive,bing,NA
breathtakingly,positive,bing,NA
breeze,positive,bing,NA
bribery,negative,bing,NA
bright,positive,bing,NA
brighten,positive,bing,NA
brighter,positive,bing,NA
brightest,positive,bing,NA
brilliance,positive,bing,NA
brilliances,positive,bing,NA
brilliant,positive,bing,NA
brilliantly,positive,bing,NA
brimstone,negative,bing,NA
brisk,positive,bing,NA
bristle,negative,bing,NA
brittle,negative,bing,NA
broke,negative,bing,NA
broken,negative,bing,NA
broken-hearted,negative,bing,NA
brood,negative,bing,NA
brotherly,positive,bing,NA
browbeat,negative,bing,NA
bruise,negative,bing,NA
bruised,negative,bing,NA
bruises,negative,bing,NA
bruising,negative,bing,NA
brusque,negative,bing,NA
brutal,negative,bing,NA
brutalising,negative,bing,NA
brutalities,negative,bing,NA
brutality,negative,bing,NA
brutalize,negative,bing,NA
brutalizing,negative,bing,NA
brutally,negative,bing,NA
brute,negative,bing,NA
brutish,negative,bing,NA
bs,negative,bing,NA
buckle,negative,bing,NA
bug,negative,bing,NA
bugging,negative,bing,NA
buggy,negative,bing,NA
bugs,negative,bing,NA
bulkier,negative,bing,NA
bulkiness,negative,bing,NA
bulky,negative,bing,NA
bulkyness,negative,bing,NA
bull----,negative,bing,NA
bull****,negative,bing,NA
bullies,negative,bing,NA
bullish,positive,bing,NA
bullshit,negative,bing,NA
bullshyt,negative,bing,NA
bully,negative,bing,NA
bullying,negative,bing,NA
bullyingly,negative,bing,NA
bum,negative,bing,NA
bump,negative,bing,NA
bumped,negative,bing,NA
bumping,negative,bing,NA
bumpping,negative,bing,NA
bumps,negative,bing,NA
bumpy,negative,bing,NA
bungle,negative,bing,NA
bungler,negative,bing,NA
bungling,negative,bing,NA
bunk,negative,bing,NA
buoyant,positive,bing,NA
burden,negative,bing,NA
burdensome,negative,bing,NA
burdensomely,negative,bing,NA
burn,negative,bing,NA
burned,negative,bing,NA
burning,negative,bing,NA
burns,negative,bing,NA
bust,negative,bing,NA
busts,negative,bing,NA
busybody,negative,bing,NA
butcher,negative,bing,NA
butchery,negative,bing,NA
buzzing,negative,bing,NA
byzantine,negative,bing,NA
cackle,negative,bing,NA
cajole,positive,bing,NA
calamities,negative,bing,NA
calamitous,negative,bing,NA
calamitously,negative,bing,NA
calamity,negative,bing,NA
callous,negative,bing,NA
calm,positive,bing,NA
calming,positive,bing,NA
calmness,positive,bing,NA
calumniate,negative,bing,NA
calumniation,negative,bing,NA
calumnies,negative,bing,NA
calumnious,negative,bing,NA
calumniously,negative,bing,NA
calumny,negative,bing,NA
cancer,negative,bing,NA
cancerous,negative,bing,NA
cannibal,negative,bing,NA
cannibalize,negative,bing,NA
capability,positive,bing,NA
capable,positive,bing,NA
capably,positive,bing,NA
capitulate,negative,bing,NA
capricious,negative,bing,NA
capriciously,negative,bing,NA
capriciousness,negative,bing,NA
capsize,negative,bing,NA
captivate,positive,bing,NA
captivating,positive,bing,NA
carefree,positive,bing,NA
careless,negative,bing,NA
carelessness,negative,bing,NA
caricature,negative,bing,NA
carnage,negative,bing,NA
carp,negative,bing,NA
cartoonish,negative,bing,NA
cash-strapped,negative,bing,NA
cashback,positive,bing,NA
cashbacks,positive,bing,NA
castigate,negative,bing,NA
castrated,negative,bing,NA
casualty,negative,bing,NA
cataclysm,negative,bing,NA
cataclysmal,negative,bing,NA
cataclysmic,negative,bing,NA
cataclysmically,negative,bing,NA
catastrophe,negative,bing,NA
catastrophes,negative,bing,NA
catastrophic,negative,bing,NA
catastrophically,negative,bing,NA
catastrophies,negative,bing,NA
catchy,positive,bing,NA
caustic,negative,bing,NA
caustically,negative,bing,NA
cautionary,negative,bing,NA
cave,negative,bing,NA
celebrate,positive,bing,NA
celebrated,positive,bing,NA
celebration,positive,bing,NA
celebratory,positive,bing,NA
censure,negative,bing,NA
chafe,negative,bing,NA
chaff,negative,bing,NA
chagrin,negative,bing,NA
challenging,negative,bing,NA
champ,positive,bing,NA
champion,positive,bing,NA
chaos,negative,bing,NA
chaotic,negative,bing,NA
charisma,positive,bing,NA
charismatic,positive,bing,NA
charitable,positive,bing,NA
charm,positive,bing,NA
charming,positive,bing,NA
charmingly,positive,bing,NA
chaste,positive,bing,NA
chasten,negative,bing,NA
chastise,negative,bing,NA
chastisement,negative,bing,NA
chatter,negative,bing,NA
chatterbox,negative,bing,NA
cheap,negative,bing,NA
cheapen,negative,bing,NA
cheaper,positive,bing,NA
cheapest,positive,bing,NA
cheaply,negative,bing,NA
cheat,negative,bing,NA
cheated,negative,bing,NA
cheater,negative,bing,NA
cheating,negative,bing,NA
cheats,negative,bing,NA
checkered,negative,bing,NA
cheer,positive,bing,NA
cheerful,positive,bing,NA
cheerless,negative,bing,NA
cheery,positive,bing,NA
cheesy,negative,bing,NA
cherish,positive,bing,NA
cherished,positive,bing,NA
cherub,positive,bing,NA
chic,positive,bing,NA
chide,negative,bing,NA
childish,negative,bing,NA
chill,negative,bing,NA
chilly,negative,bing,NA
chintzy,negative,bing,NA
chivalrous,positive,bing,NA
chivalry,positive,bing,NA
choke,negative,bing,NA
choleric,negative,bing,NA
choppy,negative,bing,NA
chore,negative,bing,NA
chronic,negative,bing,NA
chunky,negative,bing,NA
civility,positive,bing,NA
civilize,positive,bing,NA
clamor,negative,bing,NA
clamorous,negative,bing,NA
clarity,positive,bing,NA
clash,negative,bing,NA
classic,positive,bing,NA
classy,positive,bing,NA
clean,positive,bing,NA
cleaner,positive,bing,NA
cleanest,positive,bing,NA
cleanliness,positive,bing,NA
cleanly,positive,bing,NA
clear,positive,bing,NA
clear-cut,positive,bing,NA
cleared,positive,bing,NA
clearer,positive,bing,NA
clearly,positive,bing,NA
clears,positive,bing,NA
clever,positive,bing,NA
cleverly,positive,bing,NA
cliche,negative,bing,NA
cliched,negative,bing,NA
clique,negative,bing,NA
clog,negative,bing,NA
clogged,negative,bing,NA
clogs,negative,bing,NA
cloud,negative,bing,NA
clouding,negative,bing,NA
cloudy,negative,bing,NA
clueless,negative,bing,NA
clumsy,negative,bing,NA
clunky,negative,bing,NA
coarse,negative,bing,NA
cocky,negative,bing,NA
coerce,negative,bing,NA
coercion,negative,bing,NA
coercive,negative,bing,NA
cohere,positive,bing,NA
coherence,positive,bing,NA
coherent,positive,bing,NA
cohesive,positive,bing,NA
cold,negative,bing,NA
coldly,negative,bing,NA
collapse,negative,bing,NA
collude,negative,bing,NA
collusion,negative,bing,NA
colorful,positive,bing,NA
combative,negative,bing,NA
combust,negative,bing,NA
comely,positive,bing,NA
comfort,positive,bing,NA
comfortable,positive,bing,NA
comfortably,positive,bing,NA
comforting,positive,bing,NA
comfy,positive,bing,NA
comical,negative,bing,NA
commend,positive,bing,NA
commendable,positive,bing,NA
commendably,positive,bing,NA
commiserate,negative,bing,NA
commitment,positive,bing,NA
commodious,positive,bing,NA
commonplace,negative,bing,NA
commotion,negative,bing,NA
commotions,negative,bing,NA
compact,positive,bing,NA
compactly,positive,bing,NA
compassion,positive,bing,NA
compassionate,positive,bing,NA
compatible,positive,bing,NA
competitive,positive,bing,NA
complacent,negative,bing,NA
complain,negative,bing,NA
complained,negative,bing,NA
complaining,negative,bing,NA
complains,negative,bing,NA
complaint,negative,bing,NA
complaints,negative,bing,NA
complement,positive,bing,NA
complementary,positive,bing,NA
complemented,positive,bing,NA
complements,positive,bing,NA
complex,negative,bing,NA
compliant,positive,bing,NA
complicated,negative,bing,NA
complication,negative,bing,NA
complicit,negative,bing,NA
compliment,positive,bing,NA
complimentary,positive,bing,NA
comprehensive,positive,bing,NA
compulsion,negative,bing,NA
compulsive,negative,bing,NA
concede,negative,bing,NA
conceded,negative,bing,NA
conceit,negative,bing,NA
conceited,negative,bing,NA
concen,negative,bing,NA
concens,negative,bing,NA
concern,negative,bing,NA
concerned,negative,bing,NA
concerns,negative,bing,NA
concession,negative,bing,NA
concessions,negative,bing,NA
conciliate,positive,bing,NA
conciliatory,positive,bing,NA
concise,positive,bing,NA
condemn,negative,bing,NA
condemnable,negative,bing,NA
condemnation,negative,bing,NA
condemned,negative,bing,NA
condemns,negative,bing,NA
condescend,negative,bing,NA
condescending,negative,bing,NA
condescendingly,negative,bing,NA
condescension,negative,bing,NA
confess,negative,bing,NA
confession,negative,bing,NA
confessions,negative,bing,NA
confidence,positive,bing,NA
confident,positive,bing,NA
confined,negative,bing,NA
conflict,negative,bing,NA
conflicted,negative,bing,NA
conflicting,negative,bing,NA
conflicts,negative,bing,NA
confound,negative,bing,NA
confounded,negative,bing,NA
confounding,negative,bing,NA
confront,negative,bing,NA
confrontation,negative,bing,NA
confrontational,negative,bing,NA
confuse,negative,bing,NA
confused,negative,bing,NA
confuses,negative,bing,NA
confusing,negative,bing,NA
confusion,negative,bing,NA
confusions,negative,bing,NA
congenial,positive,bing,NA
congested,negative,bing,NA
congestion,negative,bing,NA
congratulate,positive,bing,NA
congratulation,positive,bing,NA
congratulations,positive,bing,NA
congratulatory,positive,bing,NA
cons,negative,bing,NA
conscientious,positive,bing,NA
conscons,negative,bing,NA
conservative,negative,bing,NA
considerate,positive,bing,NA
consistent,positive,bing,NA
consistently,positive,bing,NA
conspicuous,negative,bing,NA
conspicuously,negative,bing,NA
conspiracies,negative,bing,NA
conspiracy,negative,bing,NA
conspirator,negative,bing,NA
conspiratorial,negative,bing,NA
conspire,negative,bing,NA
consternation,negative,bing,NA
constructive,positive,bing,NA
consummate,positive,bing,NA
contagious,negative,bing,NA
contaminate,negative,bing,NA
contaminated,negative,bing,NA
contaminates,negative,bing,NA
contaminating,negative,bing,NA
contamination,negative,bing,NA
contempt,negative,bing,NA
contemptible,negative,bing,NA
contemptuous,negative,bing,NA
contemptuously,negative,bing,NA
contend,negative,bing,NA
contention,negative,bing,NA
contentious,negative,bing,NA
contentment,positive,bing,NA
continuity,positive,bing,NA
contort,negative,bing,NA
contortions,negative,bing,NA
contradict,negative,bing,NA
contradiction,negative,bing,NA
contradictory,negative,bing,NA
contrariness,negative,bing,NA
contrasty,positive,bing,NA
contravene,negative,bing,NA
contribution,positive,bing,NA
contrive,negative,bing,NA
contrived,negative,bing,NA
controversial,negative,bing,NA
controversy,negative,bing,NA
convenience,positive,bing,NA
convenient,positive,bing,NA
conveniently,positive,bing,NA
convience,positive,bing,NA
convienient,positive,bing,NA
convient,positive,bing,NA
convincing,positive,bing,NA
convincingly,positive,bing,NA
convoluted,negative,bing,NA
cool,positive,bing,NA
coolest,positive,bing,NA
cooperative,positive,bing,NA
cooperatively,positive,bing,NA
cornerstone,positive,bing,NA
correct,positive,bing,NA
correctly,positive,bing,NA
corrode,negative,bing,NA
corrosion,negative,bing,NA
corrosions,negative,bing,NA
corrosive,negative,bing,NA
corrupt,negative,bing,NA
corrupted,negative,bing,NA
corrupting,negative,bing,NA
corruption,negative,bing,NA
corrupts,negative,bing,NA
corruptted,negative,bing,NA
cost-effective,positive,bing,NA
cost-saving,positive,bing,NA
costlier,negative,bing,NA
costly,negative,bing,NA
counter-attack,positive,bing,NA
counter-attacks,positive,bing,NA
counter-productive,negative,bing,NA
counterproductive,negative,bing,NA
coupists,negative,bing,NA
courage,positive,bing,NA
courageous,positive,bing,NA
courageously,positive,bing,NA
courageousness,positive,bing,NA
courteous,positive,bing,NA
courtly,positive,bing,NA
covenant,positive,bing,NA
covetous,negative,bing,NA
coward,negative,bing,NA
cowardly,negative,bing,NA
cozy,positive,bing,NA
crabby,negative,bing,NA
crack,negative,bing,NA
cracked,negative,bing,NA
cracks,negative,bing,NA
craftily,negative,bing,NA
craftly,negative,bing,NA
crafty,negative,bing,NA
cramp,negative,bing,NA
cramped,negative,bing,NA
cramping,negative,bing,NA
cranky,negative,bing,NA
crap,negative,bing,NA
crappy,negative,bing,NA
craps,negative,bing,NA
crash,negative,bing,NA
crashed,negative,bing,NA
crashes,negative,bing,NA
crashing,negative,bing,NA
crass,negative,bing,NA
craven,negative,bing,NA
cravenly,negative,bing,NA
craze,negative,bing,NA
crazily,negative,bing,NA
craziness,negative,bing,NA
crazy,negative,bing,NA
creak,negative,bing,NA
creaking,negative,bing,NA
creaks,negative,bing,NA
creative,positive,bing,NA
credence,positive,bing,NA
credible,positive,bing,NA
credulous,negative,bing,NA
creep,negative,bing,NA
creeping,negative,bing,NA
creeps,negative,bing,NA
creepy,negative,bing,NA
crept,negative,bing,NA
crime,negative,bing,NA
criminal,negative,bing,NA
cringe,negative,bing,NA
cringed,negative,bing,NA
cringes,negative,bing,NA
cripple,negative,bing,NA
crippled,negative,bing,NA
cripples,negative,bing,NA
crippling,negative,bing,NA
crisis,negative,bing,NA
crisp,positive,bing,NA
crisper,positive,bing,NA
critic,negative,bing,NA
critical,negative,bing,NA
criticism,negative,bing,NA
criticisms,negative,bing,NA
criticize,negative,bing,NA
criticized,negative,bing,NA
criticizing,negative,bing,NA
critics,negative,bing,NA
cronyism,negative,bing,NA
crook,negative,bing,NA
crooked,negative,bing,NA
crooks,negative,bing,NA
crowded,negative,bing,NA
crowdedness,negative,bing,NA
crude,negative,bing,NA
cruel,negative,bing,NA
crueler,negative,bing,NA
cruelest,negative,bing,NA
cruelly,negative,bing,NA
cruelness,negative,bing,NA
cruelties,negative,bing,NA
cruelty,negative,bing,NA
crumble,negative,bing,NA
crumbling,negative,bing,NA
crummy,negative,bing,NA
crumple,negative,bing,NA
crumpled,negative,bing,NA
crumples,negative,bing,NA
crush,negative,bing,NA
crushed,negative,bing,NA
crushing,negative,bing,NA
cry,negative,bing,NA
culpable,negative,bing,NA
culprit,negative,bing,NA
cumbersome,negative,bing,NA
cunt,negative,bing,NA
cunts,negative,bing,NA
